Baudrate,9600
Anzahl_der_geraete,1
Anzahl_der_Boards,8
Widerstaende_pro_Board,2
Gefundene_Geraete
/dev/ttyUSB0,Keithley: MODEL 2700,7700,7700
Zeit,Board Nr,Widerstand Nr,Port,Kannal,Temperatur True/False,Sensor,Gemessener Widerstand,Temperaturwert
2894.31,5,1,/dev/ttyUSB0,109,True,PT100,126.51,68.52
2895.82,5,2,/dev/ttyUSB0,110,False,False,1.52,False
2897.32,6,1,/dev/ttyUSB0,201,True,PT100,126.55,68.63
2898.83,6,2,/dev/ttyUSB0,202,False,False,2.22,False
2900.33,7,1,/dev/ttyUSB0,203,True,PT100,126.54,68.6
2901.84,7,2,/dev/ttyUSB0,204,False,False,1.68,False
2903.35,8,1,/dev/ttyUSB0,205,True,PT100,126.63,68.84
2904.85,8,2,/dev/ttyUSB0,206,False,False,2.53,False
3026.38,1,1,/dev/ttyUSB0,101,True,PT100,128.43,73.54
3027.89,1,2,/dev/ttyUSB0,102,False,False,1.74,False
3029.39,2,1,/dev/ttyUSB0,103,True,PT100,128.15,72.81
3030.91,2,2,/dev/ttyUSB0,104,False,False,2.85,False
3032.41,3,1,/dev/ttyUSB0,105,False,False,1.79,False
3033.91,3,2,/dev/ttyUSB0,106,True,PT100,128.33,73.28
3035.5,4,1,/dev/ttyUSB0,107,True,PT100,128.13,72.76
3037.0,4,2,/dev/ttyUSB0,108,False,False,3.09,False
3038.51,5,1,/dev/ttyUSB0,109,True,PT100,128.27,73.12
3040.01,5,2,/dev/ttyUSB0,110,False,False,1.53,False
3041.52,6,1,/dev/ttyUSB0,201,True,PT100,128.15,72.81
3043.02,6,2,/dev/ttyUSB0,202,False,False,2.23,False
3044.52,7,1,/dev/ttyUSB0,203,True,PT100,128.44,73.57
3046.03,7,2,/dev/ttyUSB0,204,False,False,1.69,False
3047.53,8,1,/dev/ttyUSB0,205,True,PT100,128.63,74.06
3049.03,8,2,/dev/ttyUSB0,206,False,False,2.55,False
3170.56,1,1,/dev/ttyUSB0,101,True,PT100,131.11,80.56
3172.07,1,2,/dev/ttyUSB0,102,False,False,1.76,False
3173.57,2,1,/dev/ttyUSB0,103,True,PT100,130.72,79.54
3175.07,2,2,/dev/ttyUSB0,104,False,False,2.87,False
3176.58,3,1,/dev/ttyUSB0,105,False,False,1.8,False
3178.08,3,2,/dev/ttyUSB0,106,True,PT100,130.68,79.43
3179.59,4,1,/dev/ttyUSB0,107,True,PT100,130.37,78.62
3181.09,4,2,/dev/ttyUSB0,108,False,False,3.11,False
3182.59,5,1,/dev/ttyUSB0,109,True,PT100,130.52,79.01
3184.1,5,2,/dev/ttyUSB0,110,False,False,1.54,False
3185.6,6,1,/dev/ttyUSB0,201,True,PT100,130.53,79.04
3187.11,6,2,/dev/ttyUSB0,202,False,False,2.25,False
3188.61,7,1,/dev/ttyUSB0,203,True,PT100,130.87,79.93
3190.11,7,2,/dev/ttyUSB0,204,False,False,1.71,False
3191.62,8,1,/dev/ttyUSB0,205,True,PT100,131.12,80.58
3193.12,8,2,/dev/ttyUSB0,206,False,False,2.57,False
3314.66,1,1,/dev/ttyUSB0,101,True,PT100,131.96,82.79
3316.16,1,2,/dev/ttyUSB0,102,False,False,1.77,False
3317.67,2,1,/dev/ttyUSB0,103,True,PT100,131.63,81.92
3319.18,2,2,/dev/ttyUSB0,104,False,False,2.88,False
3320.68,3,1,/dev/ttyUSB0,105,False,False,1.81,False
3322.19,3,2,/dev/ttyUSB0,106,True,PT100,131.45,81.45
3323.69,4,1,/dev/ttyUSB0,107,True,PT100,131.44,81.42
3325.2,4,2,/dev/ttyUSB0,108,False,False,3.12,False
3326.71,5,1,/dev/ttyUSB0,109,True,PT100,131.41,81.35
3328.21,5,2,/dev/ttyUSB0,110,False,False,1.55,False
3329.71,6,1,/dev/ttyUSB0,201,True,PT100,131.5,81.58
3331.22,6,2,/dev/ttyUSB0,202,False,False,2.26,False
3332.72,7,1,/dev/ttyUSB0,203,True,PT100,131.65,81.97
3334.23,7,2,/dev/ttyUSB0,204,False,False,1.71,False
3335.73,8,1,/dev/ttyUSB0,205,True,PT100,131.87,82.55
3337.23,8,2,/dev/ttyUSB0,206,False,False,2.58,False
3458.76,1,1,/dev/ttyUSB0,101,True,PT100,131.82,82.42
